3x3,1,010111010
5x2,2,1001111001
4x5,2,01001110011001110010
5x2,2,1111001111
4x4,2,0100110000110010
3x2,2,010010
3x2,2,111111
5x1,2,11011
3x3,3,100010001
4x1,3,1000
5x2,3,1110111101
3x3,3,111010111
3x2,3,101000
5x1,3,10101
3x5,3,010101111101
2x2,4,1111
4x4,4,1111100110011111
5x2,4,0101101100
4x4,4,1001011001101001
4x4,4,0110111111110110
3x4,4,010000000111
3x3,4,101000101
4x3,4,101000000101
5x2,4,0110110110
5x5,4,0101011011000001101101010
4x3,4,111100001111
5x2,4,1000110001
5x2,4,1000101010
4x4,4,1000001000101000
4x4,4,0111110110111110
5x5,5,1000001000001000001000001
3x3,5,000010000
5x5,5,0010000000101010000000100
3x3,5,111111111
3x3,5,000010000
3x3,5,100011100
3x5,5,010000010000010
3x3,5,001010001
4x5,6,10010000100100001001
5x2,6,1101100000
3x4,6,111101101111
3x4,6,111000000111
4x4,6,1111000001100110
4x4,7,1011000101001001
3x3,7,010010010
3x4,7,101111000010
4x5,8,10010000000000001001
5x5,8,1000101010000000101010001
5x2,8,1101111011
3x5,8,000101101000
3x5,9,111101010101111
3x4,10,111111111111
3x5,10,010000111010101
4x4,2,0000011001100000
5x5,2,1111111111111111111111111
7x7,2,1111111111111111111111111111111111111111111111111